DEPARTAMENTO;PROVINCIA;DISTRITO;CENTRO POBLADO;CATEGORIA;CODIGO DE UBIGEO Y CENTRO POBLADO;LONGITUD;LATITUD;ALTITUD;POBLACION;VIVIENDA;AGUA POR RED PUBLICA;ENERGIA ELECTRICA EN LA VIVIENDA;DESAGUE POR RED PUBLICA;VIA DE MAYOR USO;TRANSPORTE DE MAYOR USO;FRECUENCIA;TIEMPO EN MINUTOS HACIA LA CAPITAL DEL DISTRITO;DISTANCIA DEL CENTRO POBLADO HACIA LA CAPITAL DEL DISTRITO(KM);DISTANCIA DEL CENTRO POBLADO HACIA EL CENTRO POBLADO EDUCATIVO;DISTANCIA DEL CENTRO POBLADO HACIA EL CENTRO DE SALUD MAS CERCA;ALUMBRADO PUBLICO;TELEFONO PUBLICO;LOCAL COMUNAL;HOSTAL / ALBERGUE;ESTACION DE RADIO;INSTITUCION EDUCATIVA PRIMARIA;INSTITUCION EDUCATIVA SECUNDARIA;ESTABLECIMIENTO/ PUESTO DE SALUD;PUESTO POLICIAL;OFICINA DE CORREO;CABINA DE INTERNET;HELADAS /NEVADAS;GRANIZADAS;LLUVIAS;SEQUIAS;VENDAVALES (VIENTOS FUERTES);INUNDACIONES;DERRUMBES/DESLIZAMIENTOS;HUAYCOS / ALUDES/ALUVIONES;DESERTIFICACIONES;SALINIZACION DE LOS SUELOS;ACTIVIDAD VOLCANICA;SISMOS;TSUNAMI U OLEADAS ANOMALOS;OTROS FENOMENOS NAT.;DERRAME DE SUSTANCIAS O DESECHOS TOXICOS;FUGAS DE GASES TOXICOS;EXPLOSIONES;INCENDIOS Y QUEMAS;CRIANZA DE ANIMALES EN ZONAS URBANAS;INCREMENTO DE ZONAS INDUS. NO AUTORIZADAS;ZONAS AEREOPORTUARIAS;RELLENOS SANITARIOS;SUBVERSIONES Y/O CONFLICTOS SOCIALES;OTROS PELIGROS;UN LECHO DE RIO O QUEBRADA;UN CUARTEL MILITAR O POLICIAL;UNA VIA FERREA;LA EROSION DE RIOS EN LADERAS DE CERROS;BARRANCOS O PRECIPICIOS;OTROS;PISTAS Y VEREDAS EN LA MAYORI DE SUS CALLES Y/O MANZANAS;CANALES DE DRENAJE EN LAS CALLES PARA LA EVACUACION DE LAS AGUA;IDIOMA O LENGUA QUE SE HABLA CON MAYOR FRECUENCIA;UBIGEO;Departamento_1;Provincia_1;Distrito_1;Total_M;Total_F;Total_eess_n;Total_eess_c;Total_eess_r;ambito_descripcion;UBIGEO_1;DOMINIO;ESTRATO;MIEPERHO;INGHOG1D;GASHOG2D;NIVELSOCIAL;POBREZA;Departamento_2;Provincia_2;Distrito_2;anio;etapa;Enf_infecc;Obesidad_Hiperalim;Inf_resperatorias;Enf_Bucales;Enf_Esofago_Estomago;Dorsopatias;Enf_Urinarias;Transtornos_maternos;Enf_digestivas;Sintoma_gen;TOTAL_SINIESTROS
ANCASH;CARHUAZ;YUNGAR;YUNGAR;pueblo;206110001;-77.59219737;-9.377573724;2836.1;1000;148;si;si;si;;;;0;;;2.84;si;si;no;si;si;si;si;si;no;no;si;no;no;si;si;no;no;no;no;no;si;no;no;no;no;no;no;no;no;no;no;no;no;no;no;si;no;;no;no;no;si;si;castellano;20611;ANCASH;CARHUAZ;YUNGAR;96;96;477;19017;2057;Minsa;;;;;;;;;ANCASH;CARHUAZ;YUNGAR;2023;5;3;2;8;8;4;5;4;0;4;7;3
ANCASH;OCROS;OCROS;OCROS;;213080001;-77.33922768;-8.906110302;3000.8;700;150;no;si;no;;;;0;;0.02;0.54;si;no;no;no;no;si;si;si;no;no;no;si;si;no;si;si;no;si;no;no;no sabe;no;no;no;no;no;no;no;si;si;no;no;no;no;no;no;no;no;no;no;no;no;no;quechua;21308;ANCASH;OCROS;OCROS;91;92;384;10382;1026;Minsa;;;;;;;;;ANCASH;OCROS;OCROS;2023;2;2;1;6;9;4;2;2;1;5;5;1
ANCASH;OCROS;COCHAS;HUANCHAY;;214050001;-77.42272354;-10.53674894;1289.6;80;45;si;si;si;;;;0;;15.87;24.89;si;si;no;no;no;no;no;no;no;no;no;no;no;no;no;si;no;no;no;no;no;no;no;no;no;no;no;no;no;si;no;no;no;no;no;si;no;no;no;no;no;si;no;;21405;ANCASH;OCROS;COCHAS;90;90;161;5395;334;Minsa;;;;;;;;;ANCASH;OCROS;COCHAS;2023;5;4;2;7;1;5;2;2;0;6;1;1
ANCASH;PALLASCA;LLAPO;LLAPO;;215070001;-78.04233015;-8.514447056;3415.5;600;209;si;si;si;;;;0;;0.17;0.1;si;si;si;no;no;si;si;si;no;no;si;si;si;si;si;si;no;no;no;no;no;no;no;no;no;no;no;no;si;si;no;;no;no;no;no;no;no;no;no;no;si;si;castellano;21507;ANCASH;PALLASCA;LLAPO;85;86;120;4129;231;Minsa;;;;;;;;;ANCASH;PALLASCA;LLAPO;2023;2;4;1;7;2;2;2;0;0;3;2;2
ANCASH;RECUAY;HUAYLLAPAMPA;HUAYLLAPAMPA;;217040001;-77.53653879;-10.05558886;2907.9;510;200;no;si;si;;;;0;;0.02;0.15;si;si;si;no;no;si;si;si;no;no;no;si;no;no;no;si;no;no;no;;no;no;si;no;no;no;no;no;si;si;no;no;si;no;no;si;no;no;si;si;no;no;no;castellano;21704;ANCASH;RECUAY;HUAYLLAPAMPA;80;85;30;4176;272;Minsa;;;;;;;;;ANCASH;RECUAY;HUAYLLAPAMPA;2023;3;2;0;6;2;2;1;1;0;1;2;4
ANCASH;YUNGAY;SHUPLUY;SHUPLUY;pueblo;220070001;-77.69392673;-9.216856126;;950;220;si;si;si;;;;0;;0.16;0.61;si;si;si;si;si;si;si;si;si;si;si;si;no;si;si;no;no;si;no;no;si;no;si;no;no;si;si;no;no;si;si;no;si;no;no;si;si;no;no;no;no;si;si;castellano;22007;ANCASH;YUNGAY;SHUPLUY;94;95;120;14130;1449;Minsa;;;;;;;;;ANCASH;YUNGAY;SHUPLUY;2023;4;4;2;7;6;3;2;2;2;4;3;1
APURIMAC;ANTABAMBA;SABAINO;SABAINO;;303070001;-72.9453051;-14.31342274;3441.1;2150;400;si;si;si;;;;0;;;;si;no;si;no;no;si;no;si;no;no;no;si;si;si;;si;si;si;si;no;no;no;no;no;no;no;no;no;no;si;no;no;no;no;no;si;no;no;no;no;no;si;si;quechua;30307;APURIMAC;ANTABAMBA;SABAINO;93;91;274;8813;1182;Minsa;;;;;;;;;APURIMAC;ANTABAMBA;SABAINO;2023;3;5;2;6;7;2;2;1;2;3;5;3
APURIMAC;AYMARAES;CHAPIMARCA;CHAPIMARCA;;304040001;-73.06498951;-13.97513552;3423.4;470;180;si;si;si;;;;0;;;;no;no;si;no;no;no;no;no;no;no;;si;si;si;no;si;no;si;si;no;no;no;si;no;no;no;no;no;no;no;no;no;no;no;no;si;no;no;si;si;no;no;si;quechua;30404;APURIMAC;AYMARAES;CHAPIMARCA;96;95;1659;20678;1661;Minsa;;;;;;;;;APURIMAC;AYMARAES;CHAPIMARCA;2023;4;8;2;11;15;6;4;3;3;7;12;7
APURIMAC;AYMARAES;LUCRE;LUCRE;;304090001;-73.22622356;-13.94974694;2822.2;100;80;si;si;si;;;;0;;;;si;no;no;no;no;;no;si;no;no;no;si;si;si;si;si;si;si;si;no;no;no;no;no;no;no;no;si;si;si;no;no;si;si;no;si;no;no;si;si;no;no;no;quechua;30409;APURIMAC;AYMARAES;LUCRE;94;92;325;12864;810;Minsa;;;;;;;;;APURIMAC;AYMARAES;LUCRE;2023;1;8;2;8;7;3;1;1;0;5;7;2
APURIMAC;GRAU;SANTA ROSA;SANTA ROSA;pueblo;307100001;-72.65672372;-14.13974709;3538.7;294;207;si;si;si;;;;0;;;30.81;si;no;si;no;no;si;si;si;no;no;no;si;si;si;si;si;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;si;;si;no;no;no;si;no;si;si;quechua;30710;APURIMAC;GRAU;SANTA ROSA;90;95;65;3502;262;Minsa;;;;;;;;;APURIMAC;GRAU;SANTA ROSA;2023;2;2;0;6;4;1;2;0;0;4;1;8
